Region,Broad_Period,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,Population_Label
Carribean,Historical/Modern,0.02995897659574468,-0.0010082711170212766,-0.0010391855851063828,0.0012158049361702128,-0.0021068511914893616,-0.0008540763021276596,0.0006482363124468085,-1.7146245936170217e-05,0.011319707765957445,-0.00021780961276595743,0.0006260796308510639,-0.0021149459382978726,-0.003392675265957447,0.003846725669148936,0.0009827909010638298,Carribean | Historical/Modern
Carribean,Other,0.0069664,-2.9324666666666664e-05,-0.00016584323333333336,8.120576666666665e-05,-0.00019404316666666666,-0.0001239879233333333,-9.217056666666668e-05,0.0004133187333333333,0.0006513731666666667,6.193336666666665e-05,0.0009302329999999999,0.0004914023333333333,0.0007048516666666666,-0.0017113866666666666,0.001876119,Carribean | Other
Caucasian,Historical/Modern,-0.0034831050000000002,-0.00605142,0.000742713,-0.0110888,0.002027615,-0.009107885,0.001844415,-0.009559695,0.001548625,-0.00351265,0.0153384,0.0070145,0.011168850000000001,0.0055283450000000005,0.00082117945,Caucasian | Historical/Modern
Caucasian,Other,-0.0035928173684210527,-0.005796779473684211,0.0016571746315789473,-0.008389708421052631,0.0057099032631578945,-0.008333746842105264,0.001114472589473684,-0.006859272105263157,0.0012066773684210527,0.0005707143631578947,0.015388957894736842,0.00903669947368421,0.011077987894736841,0.007645512631578947,0.0015246054210526314,Caucasian | Other
Central African,Historical/Modern,0.0325758847826087,0.00018591440152173914,-0.0005644332391304348,-0.0004196579178260869,-0.0013104074215217391,0.002256987543478261,-0.002376273760869565,0.002031758543478261,-0.08423182132608695,-0.0028297615217391303,0.010471248804347825,-0.005962381826086957,-0.007272439340000001,-0.016917358913043478,0.06314536250000001,Central African | Historical/Modern
Central African,Other,0.031159216666666666,0.00032475366666666664,-0.00035487685,-0.0008268136666666667,-0.0010771910000000001,0.0020328383333333335,-0.00222903,0.00023327614999999998,-0.08174881666666667,-0.0027614563333333334,0.004769622333333333,0.0034368266666666668,-0.0020563366666666665,-0.03297175,0.04749171666666666,Central African | Other
Central Asian,Bronze-Age,-0.0013547938612413792,-0.001910062488275862,-0.0005997890933103448,-0.005666230257034483,-0.0024160829274482757,-0.004072623284137931,-0.0008930323390344828,-0.0060058391749655176,-0.0007075472018620689,-0.005875941681448275,-0.0052156447820000005,0.0043833896413793105,0.003609721403448276,6.37608800689655e-05,-0.0008205806792482759,Central Asian | Bronze-Age
Central Asian,Historical/Modern,-0.0017328938393447295,0.005034838327977209,0.005096430935042735,-0.01744793572803419,0.001475406882051282,-0.007140545154131054,0.0006275941768091168,0.010909249843874643,5.438272971225071e-05,0.006019474261054131,-0.0030933471458689456,-0.006035100061823362,-0.002232606316894587,0.0012642801560683761,0.0010840119291994302,Central Asian | Historical/Modern
Central Asian,Iron-Age,-0.0018270443344086023,0.0017458302664516128,4.423109849462364e-05,-0.002350406082795699,-0.004699065335698925,-0.0043001518150537635,-0.004535738443010752,-0.007627229333333333,-0.00039433578075268814,0.0021225232784946235,-0.0019817786580860215,-0.0005402798946236559,0.0005195752150537634,-0.0017135750913978495,-0.0014652330305376343,Central Asian | Iron-Age
Central Asian,Neolithic,-0.0032025121999999994,0.0029506848,-0.009418796,-0.011144374,-0.02103682,-0.0061716808,-0.0054689742,-0.016828546,-0.00024345694000000003,-0.0060061787999999994,-0.0008027439999999999,-0.02047567,-0.0023805102,-0.051610694,-0.02968675,Central Asian | Neolithic
Central Asian,Other,-0.0011206496666666666,-0.0018272380666666669,0.0007455502333333333,-0.009578901999999999,0.0018688858333333334,-0.0071670835,-0.0001987504366666667,-0.006682441666666667,-0.0007461216,-0.005632910666666667,-0.006567461,0.011527181499999999,0.011438154433333333,0.006390917833333333,0.0019984990666666665,Central Asian | Other
East Asian,Bronze-Age,-0.001822228447706422,0.003603156353211009,-0.00014486855733944956,-0.0023383783889908256,-0.0042436974669724774,-0.005233234293577981,-0.005559937354128441,-0.010356478788990826,-0.0007675537621100918,0.003193263449541285,-0.004329395077981651,0.001270354534678899,-0.00023117113761467894,-0.005853725005504587,-0.003980592321100917,East Asian | Bronze-Age
East Asian,Historical/Modern,-0.002111337053090047,0.014077478353677725,0.0026641310609952606,0.004750696324018009,8.988881592701423e-05,-0.003260011611649289,-0.004339669764085308,0.0017716331019146919,0.0003356548748056872,0.00022172607206635071,0.002231555115772512,0.004694341652483412,-0.002482861582492891,0.003967630220367772,0.0026224315948521325,East Asian | Historical/Modern
East Asian,Iron-Age,-0.0012928468601058202,0.0035440699677248676,0.0012526613383597883,-0.0004830873000000001,-0.0031587056579365077,-0.002909524320825397,-0.0011634175063492064,-0.006190224959693122,-0.0005493469165978836,0.00151333960994709,-0.003272912644111111,0.002771399938095238,-0.001868194214920635,-0.0022404373476190473,-0.001303964586984127,East Asian | Iron-Age
East Asian,Mesolithic,-0.0010388402,0.011840215,0.007050859,0.0012258609,4.513499999999997e-06,-0.00018934140000000004,-0.00433279,0.004242127,-0.0014199211999999998,0.006129592,-0.00511404,0.0019851063,-0.0037916439999999994,0.008277155,0.010844551,East Asian | Mesolithic
East Asian,Neolithic,-0.0015797963851923076,0.00881132564423077,-0.00949355905673077,0.0023521403801923077,0.002297016120769231,0.00026337685384615384,-0.00032749613711538457,0.00021020021336538462,-0.00047263941826923073,0.002922195976153846,-0.002093405593269231,0.011287077606730768,-0.009406130776923077,-0.00011063306759615382,-4.905305576923076e-06,East Asian | Neolithic
East Asian,Other,-0.0014644452105882352,0.004401910929411765,-0.0017319644447058825,-0.00035235445023529407,0.000438358291882353,-0.0025114224835294115,-0.0004554165232941176,-0.003995554914588235,-0.0002225265134117647,0.0028942331171764703,-0.0002978808169411765,0.007670400070588235,-0.002786025522352941,0.0008275587164705882,6.625823588235294e-05,East Asian | Other
East Asian,Palaeolithic,-0.000771041,0.0095878225,0.003188273,0.0046334489999999996,-0.00086526025,-0.00254936175,-0.0025761475,-0.00583308,-0.00114348975,0.0157911625,-0.00384256925,0.009878125,-0.0062464625,0.0019235345000000001,0.001660191,East Asian | Palaeolithic
East Asian,Unknown,-0.002928185861111111,0.013406346661111112,-0.031070708944444445,0.0003918051872222222,0.006761294527777777,0.0038044313444444444,0.005247831883333333,0.0004155998456666667,-0.0007074336277777777,0.002240526045,-0.0048155956,0.02393418677777778,-0.020938575833333334,0.0025092879888888885,0.003515803566666667,East Asian | Unknown
Eastern African,Historical/Modern,0.021699009409625665,-0.00041141748588235293,-0.00013063013352941177,-0.0001632600265775401,0.000696815400053476,-0.0007549393213368983,-0.00011782599572192514,0.0006661402549732621,-0.003521838822566845,0.0004773482513368984,0.0019298064614117648,0.003242577419786096,0.006494333073262032,-0.016861713847058823,0.013211922098395721,Eastern African | Historical/Modern
Eastern African,Iron-Age,0.0062160706,5.391752000000001e-05,0.000180437874,-0.0005610244000000001,0.00024719342,9.580038000000001e-05,-0.00039181,0.00019860972,-0.0055323986,0.0008830753,0.0034993608000000002,0.0016455919,0.0054282898000000005,-0.007599467,0.00161568448,Eastern African | Iron-Age
Eastern African,Neolithic,0.008851550666666668,-0.0020274546,0.0015761254666666667,-0.00010190619666666666,0.007014462666666666,-0.0005302404426666666,-0.0008786204066666667,0.00014398644933333332,-0.009483691999999998,0.002437293133333333,0.0029902855199999997,0.013276239333333334,0.023491290666666668,-0.025400922666666666,-0.002591025,Eastern African | Neolithic
Eastern African,Other,0.0017901255,4.703287e-05,0.0001265719,-0.0002473865,0.0001454355,0.00011710400000000001,3.76288e-05,0.0002363625,-0.00424829,0.00045726435,0.0012354835,0.000918742,0.002032112,-0.002068869,-0.0005425124999999999,Eastern African | Other
Eastern European,Bronze-Age,-0.00196254037611147,-0.0031517205898271405,-0.0003328389365880452,0.0003437585051050081,-0.0030986616796445884,-0.0005597917319709209,-0.0017624330397132471,-0.003485242359337641,-0.00021921516409369952,-0.0038263941983360254,-0.003138161137657512,-0.0024473867417609046,-0.0012457530798869144,-0.001524403458529887,-0.000623488834174475,Eastern European | Bronze-Age
Eastern European,Copper,-0.0019844974336206897,-0.004558910793103449,0.00015249696060344828,0.0015032972312931034,-0.0003248753986206896,0.0002887324473357759,-0.0011365418814655171,-0.002254315145474138,-0.0003536187196982759,-0.005106078574568965,-0.004568759528448275,-0.0016492054593534482,-0.001748268645301724,-0.0004024406280172414,3.778063534482758e-05,Eastern European | Copper
Eastern European,Historical/Modern,-0.002206531585762712,-0.0011090416414992297,0.0006038546367765794,0.001165169296990755,-0.0008257686609399076,-0.001875875744409091,-0.0032257470035208014,-0.004226538241040832,-3.1634863020731893e-05,0.0030583933570878276,-0.00039567159240369804,0.00018654745300154083,0.00010359975958089369,0.00031376288422958396,2.793612199383666e-05,Eastern European | Historical/Modern
Eastern European,Iron-Age,-0.0010753413532596685,-0.002209902465694291,8.326961959484345e-06,0.0006044573383609576,-0.0009739733749355433,2.7499851832412525e-05,-0.0004630474959023941,-0.001004126618281768,3.957958268876602e-07,-0.0018732590401537754,-0.0008825954463167587,-0.0009724011607753223,-0.0007587654956611418,0.0005273561844825046,0.0004370449215583794,Eastern European | Iron-Age
Eastern European,Mesolithic,-0.002178901694214876,-0.0028787398074380166,-0.0027114441016528926,0.0020958386518181815,-0.021441028074380166,0.005394864204214876,0.0012150499336363635,0.006328470554545455,-0.0010096682578512395,-0.00041148725454545447,-0.007939130122396694,0.004000071456033058,0.00697137249322314,-0.013421869768595041,-0.007715547325619835,Eastern European | Mesolithic
Eastern European,Neolithic,-0.0016749605312025317,-0.0029935650616033753,0.0010750403666244725,0.004500919207700422,0.0037811934308016877,0.0014082272153375529,-0.0022732243807172996,0.000740090401793249,-0.00039984253552742614,0.0014747309812236287,-0.004766294627004219,-0.0034373754738185654,-0.0008545314332278482,-0.005204498966413502,-0.0029269406361012657,Eastern European | Neolithic
Eastern European,Other,-0.0022134619112708334,-0.0017841223528124999,-0.00012902323234375,-0.00017619160953645836,-0.002877519574739583,-0.0020892921125520835,-0.0029432376858333337,-0.005845914615572916,-0.00020637581552083333,-0.0006021209972395834,-0.0022231411071875003,-7.007635552083331e-05,-0.0009015985024999999,-0.0019905328730208333,-0.00104172793671875,Eastern European | Other
Eastern European,Palaeolithic,-0.0003287062424090909,0.002541992900818182,0.0008071730178727272,-0.003182533167636364,-0.0029807198611363633,0.0024639433192727273,-0.0012696247410909091,0.003361006336181818,-0.0023905673148181816,0.005653972197727273,-0.004077499887227273,0.0014042129835909092,0.003464838813090909,-0.01176952731790909,-0.008773379729454545,Eastern European | Palaeolithic
Horn of African,Copper,0.02531535,0.0002544525,0.00114828,-0.0036410649999999998,0.0024281249999999997,0.001753485,-0.00142524,0.00348625,-0.061892,0.0012415570000000001,0.007688605,0.019204,0.0358415,-0.09954615,-0.03306295,Horn of African | Copper
Latin American,Bronze-Age,-0.00033604049999999997,0.0016561699999999998,-0.0037666649999999998,-3.983160000000001e-05,0.0006453725,0.0003603705,0.0007608574999999999,-0.00023648529999999998,-0.000256042,0.0005242915,-0.000602825,0.002417715,-0.002192085,-0.0002512505,-8.60825e-05,Latin American | Bronze-Age
Latin American,Copper,-0.002154263518181818,0.010305000545454546,-0.023293675,0.0003073069090909091,0.004569173363636363,0.002415399,0.0036607661363636367,-0.0011437874454545453,-0.0009415701727272728,0.0021892066363636362,-0.004821235845454546,0.014335758363636365,-0.011269907818181818,-0.0016497326090909091,-0.0007390793545454545,Latin American | Copper
Latin American,Historical/Modern,-0.0012802525246246245,0.002321521585075075,-0.01462913527927928,0.0013867164123123124,0.004778115457357357,0.0018443323405705704,0.001804462140840841,0.005026604417417417,0.0020153645264264263,-0.0008443460444444445,0.011866995705705706,-0.010246932891891892,0.009371644941741742,0.003188252921021021,0.0011592972567567568,Latin American | Historical/Modern
Latin American,Mesolithic,-0.0011856685,0.005718555,-0.012435960000000001,0.00028394149999999996,0.002381155,0.0010774755,0.0014670725,-0.001219845,-0.00060222,0.001939378,-0.0041011599999999995,0.009156794999999999,-0.00739694,-0.0015421599999999999,-0.001031843,Latin American | Mesolithic
Latin American,Neolithic,-0.001382585,0.007382980000000001,-0.0160555,0.0005217735,0.00327248,0.001158235,0.00320804,-0.00181812,-0.000724698,0.00340385,-0.00396426,0.014946000000000001,-0.01079104,-0.0024838250000000003,-0.0017808449999999999,Latin American | Neolithic
Latin American,Other,-0.00010336876923076925,0.01016630923076923,-0.02539516153846154,0.0009505905076923076,0.006582459230769231,0.0026288007692307695,0.0014536501538461538,0.007480098461538461,0.0019678052307692305,-0.00648751,0.007804435384615385,-0.017210415384615384,0.017043492307692306,0.005180963076923077,0.001792660923076923,Latin American | Other
Middle Eastern,Bronze-Age,-0.0011235062429028775,-0.0036301940776258994,0.0014543673507194245,-0.0029502481338741005,0.007148065053201439,-0.0035561833278093527,-0.0007927513033812949,-0.003960792934057555,-0.0008302176667985611,-0.0038282652663309356,-0.004616457007122302,0.00860472165971223,0.010068632875179855,0.001994010892086331,-0.00016736022086330935,Middle Eastern | Bronze-Age
Middle Eastern,Copper,-0.0011399168390625,-0.003593947265625,0.00147679835265625,-0.00068326708140625,0.007886909328125,-0.002196007940625,-0.00108988748640625,-0.0028038274609375,-0.000731060325,-0.00314433381875,-0.0046722557,0.0050411612915625004,0.0068945288593750004,0.0010463190696875,-0.00051299731453125,Middle Eastern | Copper
Middle Eastern,Historical/Modern,-0.0012255704022222222,-0.005745092204526748,0.002341289861728395,-0.0025970222475349795,0.011774734315226338,-0.0041184761512345685,0.0006628137981481481,-0.002698438732016461,0.0003330171948106996,0.002363340025473251,0.008228037456049383,0.011618558613580247,0.014016211717283952,-0.0013491939141152263,-0.0019069748304938272,Middle Eastern | Historical/Modern
Middle Eastern,Iron-Age,-0.001549954,-0.00419283364,0.001017031134,-0.003714992406,0.0052362482600000005,-0.004244277642,-0.0006854130826,-0.005757925200000001,-0.000542103304,-0.0053221836,-0.00214565522,0.007839298294,0.00865489022,0.003324955386,0.00016067652000000001,Middle Eastern | Iron-Age
Middle Eastern,Mesolithic,-0.0007679080778333333,-0.0021015958333333333,0.0007112603333333333,-0.0061651805,0.002072969,-0.0049525617,0.0008169268166666668,-0.004898116666666666,-0.0003560558833333334,-0.0022992003500000003,0.0022088891666666665,0.009420178166666668,0.0088584015,0.006982945666666666,0.0015044235,Middle Eastern | Mesolithic
Middle Eastern,Neolithic,-0.0011039407304210527,-0.0036528424937894736,0.001495708857894737,0.0023315046673684212,0.008352605917894737,-3.938725989473683e-05,-0.0008855434043263157,-0.0007168061415789473,-0.0007025696635473685,-0.00011492963700000001,-0.004191304578947368,0.0017504555947368422,0.0012314474410526316,-0.0031971107410526316,-0.002288102209863158,Middle Eastern | Neolithic
Middle Eastern,Other,-0.0006260491082857143,-0.004375759623809524,0.001635434513047619,-0.0024674049999047617,0.008362860284761905,-0.0034774011493333336,-4.322169285714287e-05,-0.0029471296668571426,-0.00014782228171428572,-0.0009755990285714286,0.002490060464761905,0.008440653545714286,0.010568906275238096,0.00014949149280000002,-0.0007476938009523809,Middle Eastern | Other
Native American,Bronze-Age,-0.001508764264285714,0.006953940761904763,-0.013292550666666667,0.0007866026666666666,0.0029752577454761906,0.0015860654404761905,0.004180316071428571,0.00040884969285714294,-0.0002715909,-0.001091064880952381,-0.0012199894214285714,-0.0037260207357142855,0.005033604947619048,0.0017167530690476189,0.0007418375880952381,Native American | Bronze-Age
Native American,Copper,-0.00169522,0.00863228,-0.018941933333333334,0.00011527566666666668,0.0030723766666666667,0.0014759216666666668,0.003875756666666667,-0.0018469866666666666,-0.000618277,0.004551126666666666,-0.00357668,0.0145713,-0.0121515,-0.0029770866666666666,-0.001543973333333333,Native American | Copper
Native American,Historical/Modern,-0.0017384186531150562,0.007110877620074157,-0.01523304052095955,0.0001116988355033708,0.0028729397612292135,0.0015385482921238202,0.0010812330851460673,0.0015713002199417977,8.274652539325844e-05,-0.0012873843004764045,0.0005140009111910112,-0.0025275224412202248,0.0026446573774292132,0.0007509497308143821,0.000218993479752809,Native American | Historical/Modern
Native American,Iron-Age,-0.0024625985217391305,0.011027673913043478,-0.024382713043478263,0.0004647435695652174,0.004745160826086957,0.0024786605652173913,0.002246890304347826,0.0017091998565217392,-0.00024235203043478264,-0.0005170526086956522,-0.0010578397391304347,0.003054170434782609,-0.0017260903913043479,-0.0005271452173913044,-0.0006055735913043478,Native American | Iron-Age
Native American,Mesolithic,-0.002427065636363636,0.010269202727272726,-0.02251963272727273,0.0005255061545454546,0.004138937181818182,0.0027990418181818182,0.0004765441818181818,0.0033328906363636365,0.0003469862727272727,-0.004257929909090909,-0.00033573590909090914,-0.010006291636363636,0.009825187618181817,-0.0022108955454545453,-0.0017060068181818182,Native American | Mesolithic
Native American,Neolithic,-0.0012779439999999998,0.0060826407333333336,-0.013480105999999999,0.00020793982666666668,0.0023197628666666663,0.0012143471399999998,0.0021583140666666667,-0.0006771832833333334,-0.0006453352,0.0022904452,-0.0019764882466666665,0.008749858,-0.007202685466666667,-0.0017620912166666667,-0.0011898618733333333,Native American | Neolithic
Native American,Other,0.0007805995285882352,0.011054612727641177,0.005692286666705882,0.006106032895058823,-0.00019611654029411764,0.0018832846981764707,0.04412609452217647,-0.019226607085882353,-0.002578159952352941,0.011990615544588237,-0.007347845069470588,-0.010117655450647058,0.007493956731764706,0.0016861360495882354,0.0016551663625882353,Native American | Other
Nilotic,Historical/Modern,0.004364087107692307,-0.001023496486153846,0.0007276128076923078,-0.00011858395353846153,0.003055540953846154,-0.0004985274646153846,-0.0002968199698523077,0.00023155341732307693,-0.0015097007199999998,0.00025610710153846155,0.0017569105723076923,0.003865969969230769,0.009142509353846154,-0.008734458876923078,0.0015916882458461537,Nilotic | Historical/Modern
North African,Historical/Modern,0.004904694391304348,-0.005702839847826087,0.0020155183260869565,0.002222235863043478,0.010470764717391305,-0.00020167225869565216,0.0016221144217391304,0.0020655636086956523,0.003113152267391304,0.008526102195652174,0.013093621956521738,0.010950219130434782,0.017637025417391306,-0.019849873913043478,-0.008963482739130436,North African | Historical/Modern
North African,Iron-Age,-5.6540749999999996e-05,-0.0026872099999999998,0.0015512195000000001,0.000581192,0.00691693,-0.00131897,-0.001061045,-0.001130687,-0.00040516605,-0.0022407,-0.0025343755,0.005681495,0.01076193,-0.00289149,-0.0017199615,North African | Iron-Age
